rank,name,location,year,USnewsRate,peer,superRate,gre_verbal,gre_quant,doc_accept,sf_ratio,phd_fac_ratio,total_research,avg_research,enroll,tuition,tuition_out_state,tuition_unit
108,University of Idaho ,"Moscow, ID",2014,40,2.7,3.3,152,145,40,2.1,0.5,9.7,262.2,490,7162,19950,year
108,University of Maine ,"Orono, ME",2014,40,2.7,3.4,154,145,63.2,1.8,0.3,3.1,103,458,418,1259,credit
111,Howard University ,"Washington, DC",2014,39,3,4,146,141,61.8,3.6,0.4,3.7,115.5,288,29090,,year
111,Mills College ,"Oakland, CA",2014,39,2.6,3.9,,,73,2.7,0.6,2.2,224.5,222,28850,,year
111,Mississippi State University ,"Mississippi State, MS",2014,39,2.5,3.3,152,145,23.3,1.9,0.3,10.1,116.2,808,6264,9564,year
111,University of Houston ,"Houston, TX",2014,39,2.8,3.6,153,151,32.4,5.1,1.3,2.7,50.5,768,8604,14922,year
111,University of Mississippi ,"University, MS",2014,39,2.7,3.7,149,139,38.7,1.5,0.4,5.6,121.9,623,349,903,credit
111,University of South Alabama ,"Mobile, AL",2014,39,2.3,3.7,150,157,50,0.4,0.2,5.2,81.6,409,358,716,credit
111,University of Texas-San Antonio,"San Antonio, TX",2014,39,2.8,3.5,149,143,52.9,1.2,0.3,6.8,65.2,1660,259,961,credit
111,West Virginia University ,"Morgantown, WV",2014,39,2.8,3.7,150,146,53.2,2,0.6,4.7,66.9,1249,6810,19508,year
